Русское название,Английское название,Рейтинг
Побег из Шоушенка (1994),The Shawshank Redemption,9.191
Зеленая миля (1999),The Green Mile,9.134
Форрест Гамп (1994),Forrest Gump,9.013
Список Шиндлера (1993),Schindler's List,8.885
1+1 (2011),Intouchables,8.833
Леон (1994),Léon,8.775
Начало (2010),Inception,8.773
Король Лев (1994),The Lion King,8.757
Бойцовский клуб (1999),Fight Club,8.712
Иван Васильевич меняет профессию (1973),-,8.708
Жизнь прекрасна (1997),La vita è bella,8.674
Достучаться до небес (1997),Knockin' on Heaven's Door,8.646
Крестный отец (1972),The Godfather,8.635
Криминальное чтиво (1994),Pulp Fiction,8.627
Престиж (2006),The Prestige,8.620
Операция «Ы» и другие приключения Шурика (1965),-,8.620
Игры разума (2001),A Beautiful Mind,8.619
Интерстеллар (2014),Interstellar,8.585
Гладиатор (2000),Gladiator,8.585
Властелин колец: Возвращение Короля (2003),The Lord of the Rings: The Return of the King,8.582
Назад в будущее (1985),Back to the Future,8.573
"Карты, деньги, два ствола (1998)","Lock, Stock and Two Smoking Barrels",8.554
Бриллиантовая рука (1968),-,8.527
Матрица (1999),The Matrix,8.525
"Поймай меня, если сможешь (2002)",Catch Me If You Can,8.512
Отступники (2006),The Departed,8.512
Пианист (2002),The Pianist,8.512
В бой идут одни «старики» (1973),-,8.501
Властелин колец: Братство кольца (2001),The Lord of the Rings: The Fellowship of the Ring,8.500
ВАЛЛ·И (2008),WALL·E,8.499
Большой куш (2000),Snatch.,8.494
Тайна Коко (2017),Coco,8.494
Властелин колец: Две крепости (2002),The Lord of the Rings: The Two Towers,8.488
Американская история X (1998),American History X,8.488
Джентльмены удачи (1971),-,8.484
Пираты Карибского моря: Проклятие Черной жемчужины (2003),Pirates of the Caribbean: The Curse of the Black Pearl,8.472
Остров проклятых (2009),Shutter Island,8.470
Пролетая над гнездом кукушки (1975),One Flew Over the Cuckoo's Nest,8.467
Темный рыцарь (2008),The Dark Knight,8.465
Титаник (1997),Titanic,8.463
12 разгневанных мужчин (1956),12 Angry Men,8.450
Запах женщины (1992),Scent of a Woman,8.445
Пробуждение (1990),Awakenings,8.442
В джазе только девушки (1959),Some Like It Hot,8.439
Хатико: Самый верный друг (2008),Hachi: A Dog's Tale,8.435
Огни большого города (1931),City Lights,8.427
Эта замечательная жизнь (1947),It's a Wonderful Life,8.426
Унесённые призраками (2001),Sen to Chihiro no kamikakushi,8.425
"Хороший, плохой, злой (1966)","Il buono, il brutto, il cattivo",8.423
...А зори здесь тихие (1972),-,8.422
"Кавказская пленница, или Новые приключения Шурика (1966)",-,8.420
Хористы (2004),Les Choristes,8.418
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей (1981),-,8.416
Семь (1995),Se7en,8.410
Молчание ягнят (1990),The Silence of the Lambs,8.408
Шоу Трумана (1998),The Truman Show,8.406
Как приручить дракона (2010),How to Train Your Dragon,8.406
Джанго освобожденный (2012),Django Unchained,8.402
Терминатор 2: Судный день (1991),Terminator 2: Judgment Day,8.400
